property_type,price,location,city,baths,bedrooms,Area_in_Marla
Flat,22000000,DHA Defence,Karachi,3,3,8.0
Flat,8500000,Scheme 33,Karachi,3,3,6.7
Flat,14000000,Saddar Town,Karachi,4,4,9.0
Flat,4100000,North Karachi,Karachi,2,4,3.4
Flat,3400000,Anda Mor Road,Karachi,2,2,2.9
Penthouse,15000000,Gulshan-e-Iqbal Town,Karachi,3,3,7.6
Flat,39000000,Gulshan-e-Iqbal Town,Karachi,5,4,9.8
Flat,4666000,Fazaia Housing Scheme,Karachi,2,2,5.8
Flat,4848000,Scheme 33,Karachi,3,3,3.6
House,40000000,Gulshan-e-Iqbal Town,Karachi,4,3,16.0
House,8500000,Malir,Karachi,5,4,4.0
House,7000000,North Karachi,Karachi,3,3,3.4
Flat,17000000,Clifton,Karachi,3,3,6.2
Flat,1700000,Lyari Town,Karachi,2,2,3.2
Flat,22000000,DHA Defence,Karachi,4,3,8.0
Flat,5049000,Scheme 33,Karachi,2,0,4.0
Flat,8000000,DHA Defence,Karachi,2,2,4.7
House,8500000,Bani Gala,Islamabad,5,5,5.0
Flat,33000000,Diplomatic Enclave,Islamabad,3,2,8.0
House,13000000,G-13,Islamabad,4,3,5.0
Flat,15500000,DHA Defence,Islamabad,4,3,10.0
Flat,15000000,DHA Defence,Islamabad,4,3,10.0
House,21000000,Bahria Town,Islamabad,6,5,10.0
Flat,10500000,G-11,Islamabad,3,3,4.9
Flat,12500000,G-7,Islamabad,2,3,5.8
House,36500000,Bahria Town,Islamabad,7,6,20.0
House,23500000,Bahria Town,Islamabad,6,5,10.0
House,23000000,Bahria Town,Islamabad,6,5,10.0
House,27500000,G-11,Islamabad,5,5,8.0
Flat,35000000,F-10,Islamabad,3,3,10.0
House,20000000,Cavalry Ground,Lahore,6,6,10.0
House,32500000,State Life Housing Society,Lahore,6,5,20.0
House,34000000,State Life Housing Society,Lahore,6,5,20.0
House,40000000,Gulberg,Lahore,4,4,14.0
Flat,19000000,Askari,Lahore,4,3,10.0
House,37500000,Gulberg,Lahore,4,4,14.0
House,32000000,Cricketer Villas,Lahore,7,5,26.0
House,10000000,Rehman Villas,Lahore,3,3,4.0
House,44500000,DHA Defence,Lahore,6,5,20.0
House,33000000,State Life Housing Society,Lahore,6,5,20.0
House,33500000,Gulberg,Lahore,4,4,14.0
House,6550000,Eden,Lahore,2,3,4.0
House,42500000,DHA Defence,Lahore,6,5,20.0
House,39900000,DHA Defence,Lahore,6,5,10.0
House,16900000,Bahria Town,Lahore,6,5,8.0
Flat,6000000,Faisal Town,Lahore,3,3,5.0
House,7200000,Eden,Lahore,2,3,5.0
Flat,14500000,Askari,Lahore,3,3,10.0
House,11500000,Bahria Town,Lahore,4,3,5.0
House,17600000,Bahria Town,Lahore,6,5,10.0
House,11000000,Harbanspura Road,Lahore,4,3,6.0
House,5000000,Alfalah Town,Lahore,4,3,2.5
House,26800000,Punjab Govt Employees Society,Lahore,6,5,20.0
House,40000000,EME Society,Lahore,6,5,32.0
House,4000000,Ashiana-e-Quaid Housing Scheme,Lahore,2,2,3.0
Lower Portion,3200000,Eden,Lahore,1,2,3.0
House,32900000,DHA Defence,Lahore,5,4,10.0
House,37000000,DHA Defence,Lahore,6,5,20.0
House,37500000,DHA Defence,Lahore,6,5,20.0
Flat,1500000,Bahria Town Rawalpindi,Rawalpindi,1,1,1.3
House,17500000,Askari 14,Rawalpindi,4,3,10.0
House,12000000,Bahria Town Rawalpindi,Rawalpindi,5,4,7.0
House,23500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,27500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,35000000,Satellite Town,Rawalpindi,6,6,6.0
House,11000000,Bahria Town Rawalpindi,Rawalpindi,3,3,8.0
House,22000000,Bahria Town Rawalpindi,Rawalpindi,5,4,10.0
House,23000000,Bahria Town Rawalpindi,Rawalpindi,5,5,10.0
House,25000000,Affandi Colony,Rawalpindi,7,6,13.0
House,38500000,Bahria Town Rawalpindi,Rawalpindi,5,5,20.0
House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,23500000,Bahria Town Rawalpindi,Rawalpindi,5,4,10.0
House,7400000,Sadiqabad,Rawalpindi,2,4,5.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,6,20.0
House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,23500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
House,23500000,Bahria Town Rawalpindi,Rawalpindi,6,5,10.0
Flat,4000000,Bahria Town Rawalpindi,Rawalpindi,1,1,2.0
Flat,7800000,DHA Defence,Karachi,2,3,4.4
Flat,22500000,DHA Defence,Karachi,3,3,6.7
Flat,30000000,DHA Defence,Karachi,2,2,7.3
House,6500000,North Nazimabad,Karachi,2,3,3.2
Flat,8000000,Gulistan-e-Jauhar,Karachi,3,3,7.6
Flat,15000000,DHA Defence,Karachi,3,3,5.6
Flat,22500000,DHA Defence,Karachi,4,3,9.1
Flat,32500000,DHA Defence,Karachi,4,3,8.0
